name,category,address,zip,city,phone,email,website,contact_page
1818 Chophouse,amenity:restaurant,"6170 Bennett Drive, Edwardsville, 62025",62025,"Edwardsville, IL",,info@1818chophouse.com,https://1818chophouse.com/,https://1818chophouse.com/contact/
1st Mid America Credit Union,amenity:bank,"1702 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-258-3168,,https://www.1stmidamerica.org/,https://www.1stmidamerica.org/contact/contact-us
54th Street Grill & Bar,amenity:restaurant,"6660 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-5455,,https://www.54thstreetrestaurants.com/edwardsville-il.html,https://www.54thstreetgrill.com/cmss_files/attachmentlibrary/contactless-menu-A.pdf
AAA Insurance & Travel,shop:travel_agency,"6655 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-4622,,https://www.ace.aaa.com/locations/Edwardsville-62025-138,https://www.ace.aaa.com/locations/Edwardsville-62025-138
Abbey's Sew & Vacuum,shop:sewing,"439 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 655 0433,abbey1sew@sbcglobal.net,https://www.abbeysewingcenters.com/index.htm,https://www.abbeysewingcenters.com/contact-us---find-us.htm
Abbie's Laundry,shop:laundry,"1112 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-610-3247,,,
Advanced Driving School,amenity:driving_school,"1719 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-345-1919,adsoffice617@gmail.com,https://www.advanceddrivingschool.org/edwardsville-location/,
Afterwards Books,shop:books,"441 East Vandalia Street, Edwardsville, 62025",62025,"Edwardsville, IL",+1-618-655-0355,,https://afterwordsusedbooks.com/,https://afterwordsusedbooks.com/pages/contact-us
All About Eyes,shop:optician,"6679 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-655-1500,,https://www.allabouteyes.com/hours-locations/edwardsville/,https://www.allabouteyes.com/contact-lenses/
Allstate,office:insurance,"1500 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://agents.allstate.com/usa/il/edwardsville,
AMC Edwardsville 12,amenity:cinema,"6633 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-7479,,https://www.amctheatres.com/movie-theatres/st-louis/amc-edwardsville-12,
Apple Cleaners,shop:dry_cleaning,"6679 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-9200,customersupport@applecleaners.com,https://corecleangroup.com/edwardsville-dry-cleaner/,
Arbor Management,shop:groundskeeping,"4757 New Poag Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-205-3094,info@arbor-mgmt.com,https://arbor-mgmt.com/,
Arby's,amenity:fast_food,"1800 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-7400,,https://www.arbys.com/locations/us/il/edwardsville/1800-troy-rd/store-6312/,https://www.arbys.com/locations/us/il/edwardsville/1800-troy-rd/store-6312/
Arch View Family Dentist,amenity:dentist,"2133 South State Route 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-2006,,,
ArchView Flooring,shop:flooring,"1530 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9890,,https://www.archviewflooring.com/,https://www.archviewflooring.com/contact
Ark Animal Hospital,amenity:veterinary,"6718 Goshen Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-207-4000,info@arkpetvet.net,https://www.arkpetvet.net,https://arkpetvet.net/contact-us.html
Ashley HomeStore,shop:furniture,"6609 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-656-2333,,https://stores.ashleyfurniture.com/store/us/illinois/edwardsville/7710000148/,https://stores.ashleyfurniture.com/store/us/illinois/edwardsville/7710000148/
AT&T,shop:mobile_phone,"6697 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2103,,https://www.att.com/stores/illinois/edwardsville/101293,javascript:void(0);
AutoZone,shop:car_parts,"430 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-1990,,https://www.autozone.com/locations/il/edwardsville/430-s-buchanan-st.html,
Backstage Bar & Patio,amenity:bar,"228, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-5546,backstagebarsocialmedia@gmail.com,,
Bagley Farms Meat Market,shop:butcher,"1208 South State Route 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9533,info@bagleyfarmsmeatmarket.com,https://bagleyfarmsmeatmarket.com/,
Bank of Hillsboro,amenity:bank,"2496 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://www.bankhillsboro.com/,https://www.constitutionbank.com/contact-us/
Bann Thai,amenity:restaurant,"4 Club Centre Court, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-5894,bannthaiinc@gmail.com,https://bannthaiinc.com/,
Bauer Hite Orthodontic Specialists,amenity:dentist,"1419 Lewis Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,info@bauerhiteortho.com,https://www.bauerhiteortho.com/edwardsville-office,https://www.bauerhiteortho.com/meet-the-doctor
Beauty Brands,shop:beauty,"6659 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-655-0622,,https://www.beautybrands.com/on/demandware.store/Sites-BeautyBrands-Site/en_US/Stores-Detail?storeID=151,
Bella Milano,amenity:restaurant,"1063 South State Rt 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2100,,https://bellamilanos.com/edwardsville/,https://bellamilanos.com/edwardsville/
Beltone,shop:hearing_aids,"6679 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2878,,https://www.beltone.com/en-us/location/IL/EDWARDSVILLE/0000445013,https://www.beltone.com/en-us/contact-us
Benjamin Moore,shop:paint,"1510 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-0490,info@benjaminmoore.com,https://www.benjaminmoore.com/en-us/store-locator/10018816/flanagan-paint-and-supply-co,https://www.benjaminmoore.com/en-us/contact-us
Best Buy,shop:electronics,"6670 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-9895,,http://stores.bestbuy.com/1426/,https://www.bestbuy.com/contact-us
Best Pals,shop:pet_grooming,"1725 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-696-1717,bestpals@style-grooming.com,https://bestpalsllc.square.site/,
Bin 51 Wine @ Spirits,shop:wine,"118 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Bing Field Paintball,leisure:sports_centre,"500 Bing Field Drive, Alton, IL, 62025",62025,"Edwardsville, IL",+1-618-692-8271,,https://www.facebook.com/bingfield,https://www.facebook.com/bingfield
BingShop,shop:paintball,"211 East Vandalia Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-8271,admin@bingshop.com,https://bingshop.com/,https://bingshop.com/
Bird Cloud Recording,amenity:studio,"144A North Main Street, Edwardsville, 62025",62025,"Edwardsville, IL",,sinkou@mac.com,https://birdcloudrecording.tumblr.com/,https://birdcloudrecording.tumblr.com/Contact-Us
"BJ's Printables, Inc.",shop:clothes,"1501 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-8625,order@bjsprintables.com,https://www.bjsprintables.com/,https://www.bjsprintables.com/index.php/contact-us
Blow It Out on Main,shop:hairdresser,"303 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9999,,https://blowitoutonmain.com/,
Books-A-Million,shop:books,"6601 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-3526,,http://www.booksamillion.com/storefinder#aMap,
BP,amenity:fuel,"415 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-3357,,,
Brown Street Storage,shop:storage_rental,"132 South Brown Avenue, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-7373,,,
Buffalo Wild Wings,amenity:restaurant,"249 Harvard Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-9464,,https://www.buffalowildwings.com/locations/us/il/edwardsville/249-harvard-drive/sports-bar-1148/,https://www.buffalowildwings.com/locations/us/il/edwardsville/249-harvard-drive/sports-bar-1148/
Busey Bank,amenity:bank,"2004 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,tmsupport@busey.com,https://www.busey.com,https://www.busey.com/busey/customer-care/contact-us
Busey Bank,amenity:bank,"330 West Vandalia Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,tmsupport@busey.com,https://www.busey.com,https://www.busey.com/busey/customer-care/contact-us
Busey Bank,amenity:bank,"317 West Park Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Cafe Birdie,amenity:cafe,"120 South Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,hello@cafebirdie.co,https://www.cafebirdie.co/,https://www.cafebirdie.co/about
Calvary Cemetary,office:yes,"2910 South State Route 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Captain D's,amenity:fast_food,"1960 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-1611,,https://locations.captainds.com/ll/US/IL/Edwardsville/1960-Troy-Rd/,https://www.captainds.com/our-menu/
Carrollton Bank,amenity:bank,"245 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Carter's/Oshkosh B'gosh,shop:clothes,"6622 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-0512,,https://locations.carters.com/il/edwardsville/carters-edwardsville-il,https://locations.carters.com/content/customerservice/contact-us/
Chase,amenity:bank,"248 Harvard Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-800-4469,,https://locator.chase.com/il/edwardsville/248-harvard-dr,https://locator.chase.com/digital/resources/privacy-security/security/how-to-spot-scams
Chef's Shoppe,shop:houseware,"2320 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-9840,,,
