name,category,address,zip,city,phone,email,website,contact_page
Abbey's Sew & Vacuum,shop:sewing,"439 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 655 0433,abbey1sew@sbcglobal.net,https://www.abbeysewingcenters.com/index.htm,https://www.abbeysewingcenters.com/contact-us---find-us.htm
Abbie's Laundry,shop:laundry,"1112 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-610-3247,,,
Advanced Driving School,amenity:driving_school,"1719 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-345-1919,adsoffice617@gmail.com,https://www.advanceddrivingschool.org/edwardsville-location/,
Afterwards Books,shop:books,"441 East Vandalia Street, Edwardsville, 62025",62025,"Edwardsville, IL",+1-618-655-0355,,https://afterwordsusedbooks.com/,https://afterwordsusedbooks.com/pages/contact-us
All About Eyes,shop:optician,"6679 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-655-1500,,https://www.allabouteyes.com/hours-locations/edwardsville/,https://www.allabouteyes.com/contact-lenses/
AMC Edwardsville 12,amenity:cinema,"6633 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-7479,,https://www.amctheatres.com/movie-theatres/st-louis/amc-edwardsville-12,
Apple Cleaners,shop:dry_cleaning,"6679 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-9200,customersupport@applecleaners.com,https://corecleangroup.com/edwardsville-dry-cleaner/,
Arbor Management,shop:groundskeeping,"4757 New Poag Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-205-3094,info@arbor-mgmt.com,https://arbor-mgmt.com/,
Arby's,amenity:fast_food,"1800 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-7400,,https://www.arbys.com/locations/us/il/edwardsville/1800-troy-rd/store-6312/,https://www.arbys.com/locations/us/il/edwardsville/1800-troy-rd/store-6312/
Arch View Family Dentist,amenity:dentist,"2133 South State Route 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-2006,,,
ArchView Flooring,shop:flooring,"1530 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9890,,https://www.archviewflooring.com/,https://www.archviewflooring.com/contact
Ark Animal Hospital,amenity:veterinary,"6718 Goshen Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-207-4000,info@arkpetvet.net,https://www.arkpetvet.net,https://arkpetvet.net/contact-us.html
AT&T,shop:mobile_phone,"6697 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2103,,https://www.att.com/stores/illinois/edwardsville/101293,javascript:void(0);
Bagley Farms Meat Market,shop:butcher,"1208 South State Route 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9533,info@bagleyfarmsmeatmarket.com,https://bagleyfarmsmeatmarket.com/,
Bauer Hite Orthodontic Specialists,amenity:dentist,"1419 Lewis Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,info@bauerhiteortho.com,https://www.bauerhiteortho.com/edwardsville-office,https://www.bauerhiteortho.com/meet-the-doctor
Beauty Brands,shop:beauty,"6659 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-655-0622,,https://www.beautybrands.com/on/demandware.store/Sites-BeautyBrands-Site/en_US/Stores-Detail?storeID=151,
Beltone,shop:hearing_aids,"6679 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2878,,https://www.beltone.com/en-us/location/IL/EDWARDSVILLE/0000445013,https://www.beltone.com/en-us/contact-us
Benjamin Moore,shop:paint,"1510 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-0490,info@benjaminmoore.com,https://www.benjaminmoore.com/en-us/store-locator/10018816/flanagan-paint-and-supply-co,https://www.benjaminmoore.com/en-us/contact-us
Best Buy,shop:electronics,"6670 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-9895,,http://stores.bestbuy.com/1426/,https://www.bestbuy.com/contact-us
Best Pals,shop:pet_grooming,"1725 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-696-1717,bestpals@style-grooming.com,https://bestpalsllc.square.site/,
Bing Field Paintball,leisure:sports_centre,"500 Bing Field Drive, Alton, IL, 62025",62025,"Edwardsville, IL",+1-618-692-8271,,https://www.facebook.com/bingfield,https://www.facebook.com/bingfield
BingShop,shop:paintball,"211 East Vandalia Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-8271,admin@bingshop.com,https://bingshop.com/,https://bingshop.com/
Bird Cloud Recording,amenity:studio,"144A North Main Street, Edwardsville, 62025",62025,"Edwardsville, IL",,sinkou@mac.com,https://birdcloudrecording.tumblr.com/,https://birdcloudrecording.tumblr.com/Contact-Us
"BJ's Printables, Inc.",shop:clothes,"1501 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-8625,order@bjsprintables.com,https://www.bjsprintables.com/,https://www.bjsprintables.com/index.php/contact-us
Blow It Out on Main,shop:hairdresser,"303 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9999,,https://blowitoutonmain.com/,
Books-A-Million,shop:books,"6601 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-3526,,http://www.booksamillion.com/storefinder#aMap,
Brown Street Storage,shop:storage_rental,"132 South Brown Avenue, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-7373,,,
Cafe Birdie,amenity:cafe,"120 South Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,hello@cafebirdie.co,https://www.cafebirdie.co/,https://www.cafebirdie.co/about
Calvary Cemetary,office:yes,"2910 South State Route 157, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Captain D's,amenity:fast_food,"1960 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-1611,,https://locations.captainds.com/ll/US/IL/Edwardsville/1960-Troy-Rd/,https://www.captainds.com/our-menu/
Carter's/Oshkosh B'gosh,shop:clothes,"6622 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-0512,,https://locations.carters.com/il/edwardsville/carters-edwardsville-il,https://locations.carters.com/content/customerservice/contact-us/
Chef's Shoppe,shop:houseware,"2320 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-9840,,,
Chick-fil-A,amenity:fast_food,"2319 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-391-0563,,https://www.chick-fil-a.com/locations/il/edwardsville-il,https://www.chick-fil-a.com/locations/il/edwardsville-il#about-us
Chicken Salad Chick,amenity:fast_food,"2323 Plum Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://www.chickensaladchick.com/edwardsville/?utm_source=GMB&utm_medium=organic&utm_campaign=edwardsville,
Chipotle,amenity:fast_food,"2200 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-6010,,https://locations.chipotle.com/il/edwardsville,https://locations.chipotle.com/il/edwardsville
Circle K,shop:convenience,"629 West Schwarz Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Clarkson Eyecare,shop:optician,"6663 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2320,eyecarepartners@steadyrain.com,https://www.clarksoneyecare.com/locations/il/edwardsville/edwardsville-crossing,https://www.clarksoneyecare.com/eye-care-services/contact-lens-exam
Cleaon Etzkorn Bandstand,amenity:theatre,"112 South Kansas Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Courage & Grace,shop:yes,"102 East Vandalia Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,mllegeorgesand@gmail.com,https://courageandgracedesigns.com/,https://courageandgracedesigns.com/pages/about-us
Culver's,amenity:fast_food,"6724 Goshen Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-692-0800,,https://www.culvers.com/restaurants/edwardsville,https://www.contactculvers.com/
Cut 'N Up,shop:hairdresser,"1719 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-6235,,,
Diamond Nails,shop:beauty,"1528 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-8269,erickhuynh2014@yahoo.com,https://edwardsvillediamondnails.com/,
Dick's Sporting Goods,shop:sports,"2401,2409,2413,2417,2421 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Dierbergs,shop:supermarket,"6667,6671 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-3800,,https://www.dierbergs.com/store-locations/edwardsville-crossing,https://www.dierbergs.com/store-locations/edwardsville-crossing
DK Nails & Spa,shop:beauty,"2212 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-616-4372,,https://www.facebook.com/Dknailsandspa/,
Doll Corner,shop:antiques,"207 West High Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Dollar Tree,shop:variety_store,"1504 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-217-1965,,https://locations.dollartree.com/il/edwardsville/1504-troy-road,https://www.dollartree.com/customer-service-main
Domino's,amenity:fast_food,"120 East Vandalia Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 619-692-1515,,https://pizza.dominos.com/illinois/edwardsville/120-e-vandalia-st,https://www.dominos.com/en/about-pizza/
DQ Grill & Chill,amenity:fast_food,"400 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-692-8191,,https://www.facebook.com/Dairy-Queen-of-Edwardsville-IL-151301308256415/,
Drivers and Motor Vehicles Facility,office:government,"1502A Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-8956,,https://apps.ilsos.gov/facilityfinder/facilityfinder?command=getFacilityDetails&facilityId=080,https://apps.ilsos.gov/facilityfinder/facilityfinder?command=getFacilityDetails&facilityId=080
E'ville Fitness,leisure:fitness_centre,"233 Harvard Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-5152,carie@evillefitness.com,https://evillefitness.com/,
Ed's Delicatessin,shop:deli,"222 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,ed@yellowdoghospitality.com,https://www.edsdelicatessen.com/,https://www.edsdelicatessen.com/contact-us/
Edible Arrangements,shop:gift,"447 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 656 2400,,https://www.ediblearrangements.com/stores/447-s-buchanan-edwardsville-il-62025,https://www.ediblearrangements.com/stores/447-s-buchanan-edwardsville-il-62025
Edwardsville Family Dentist,amenity:dentist,"1811 Lindenwood Avenue, Edwardsville, 62025",62025,"Edwardsville, IL",+1-618-659-0456,info@edwardsvilleildentist.com,https://www.edwardsvilleildentist.com/,
Edwardsville Flea Market,amenity:marketplace,"1506 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-655-0875,edwfleamarket@outlook.com,,
Edwardsville Pet Hospital,amenity:veterinary,"423 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 656 7656,edwardsvilleph@yourvetdoc.com,https://edwardsvillepethosp.com/,https://edwardsvillepethosp.com/contact
Edwardsville Post Office,shop:musical_instrument,"132 North Kansas Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://www.swingcitymusic.com/,https://www.swingcitymusic.com/contact-us/
Edwardsville Township Offices,office:government,"300 West Park Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Elegant Brides,shop:clothes,"6 Club Centre Court, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-5353,contact@mysite.com,https://www.elegant-brides.com/,https://www.elegant-brides.com/
Evermore Gallery,shop:tattoo,"100 East Vandalia Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
"EXO: Nail Bar, Med Spa, Lounge",shop:beauty,"2 157 Center, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-9696,info@visitexo.com,https://visitexo.com/nail-bar,https://visitexo.com/nail-bar
Famous Footwear,shop:shoes,"2306 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Farmacia Rossi,amenity:pharmacy,"6 Largo Giacomo Leopardi, Pioraco, 62025",62025,"Edwardsville, IL",+39 0737 42147,info@farmaciapioraco.it,https://farmaciapioraco.it/,
Firehouse Subs,amenity:fast_food,"2004 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Five Guys,amenity:fast_food,"1990 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-307-5988,marketing@fiveguys.com,https://restaurants.fiveguys.com/1990-troy-road,https://www.fiveguys.com/contact-us
Franklin Fixtures Restaurant Equipment,shop:restaurant_equipment,"223 St Andrews Avenue, Edwardsville, 62025",62025,"Edwardsville, IL",,,https://franklinfixturesco.com/Contact.html,
Freddy's,amenity:fast_food,"2204 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-5096,,https://freddysusa.com/store/edwardsville/,https://freddysusa.com/contact-us
GOSHEN BUTCHER SHOP,shop:butcher,"246 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,http://www.goshenbutchershop.com/,
Goshen Coffee,amenity:cafe,"6120 Shoger Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-650-9086,sales@goshencoffee.com,https://goshencoffee.com/,https://goshencoffee.com/pages/about
Green Earth Grocery,shop:health_food,"441 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 656 3375,greeneathgrocer@gmail.com,https://www.greenearthgrocer.com,
Hair Saloon for Men,shop:hairdresser,"6655 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-5969,,https://hairsaloon.com/locations/edwardsville-il/,https://hairsaloon.com/contact/
Happy Up Inc.,shop:toys,"6654 Edwardsville Crossing Dr., Edwardsville, 62025",62025,"Edwardsville, IL",+1-618-656-9596,help@happyupinc.com,https://www.happyupinc.com/,
Heroic Adventures Comics and Games,shop:books,"1005 Century Drive, Edwardsville, 62025",62025,"Edwardsville, IL",,,https://www.fantasybooksinc.com/index.php?option=com_content&view=article&id=13&Itemid=117,https://www.fantasybooksinc.com/index.php?option=com_content&view=article&id=13&Itemid=117
Hibbett Sports,shop:sports,"2302 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Holiday Cleaners,shop:dry_cleaning,"110 Hillsboro Avenue, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-0202,,,
HomeGoods,shop:houseware,"2300 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-8753,,https://www.homegoods.com/store-details/Edwardsville-IL-62025/858,https://www.homegoods.com/store-details/Edwardsville-IL-62025/858#about
Honeybaked,amenity:fast_food,"1508 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,hbhcatering@hbham.com,https://www.honeybaked.com/stores/1302,https://www.honeybaked.com/stores/1302
Jan's Hallmark Shop,shop:stationery,"2312 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Jersey Mike's Subs,amenity:fast_food,"1990 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://www.jerseymikes.com/27087/edwardsville-il,https://www.jerseymikes.com/contact-us
Joe Muggs,shop:coffee,"6601 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://www.booksamillion.com/joemuggs,
Joe's Market Basket,shop:supermarket,"447 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 656 9055,,https://www.joesmarketbasket.com,https://www.joesmarketbasket.com/contact
Johnson Fitness & Wellness Store,shop:sports,"6655 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-800-6038,,https://www.johnsonfitness.com/Edwardsville-IL-Exercise-Equipment-Store,
KingCity Liquor,shop:convenience,"332 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-3729,,,
Kirkland's,shop:interior_decoration,"6624 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-2289,,https://www.kirklands.com/custserv/store.jsp?storeName=Edwardsville%20Crossing,
Kohl's,shop:department_store,"2120 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-692-4710,,https://www.kohls.com/stores/il/edwardsville-672.shtml,https://www.kohls.com/faq/article/623
Larry's Hair and Skin Care,shop:beauty,"517 East Vandalia Street, Edwardsville, 62025",62025,"Edwardsville, IL",+1-618-656-4950,,,
Lion's Choice,amenity:fast_food,"2384 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-208-3777,,https://order.lionschoice.com/menu/edwardsville-il,https://order.lionschoice.com/menu/edwardsville-il
Madison County Administration Building,office:government,"157 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,webmaster@co.madison.il.us,https://www.co.madison.il.us/,https://www.co.madison.il.us/government/county_board/contact_the_board/Contact_the_Board.php
Mark's Appliance,shop:appliance,"1507 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-9600,sales@marksappliance.com,https://www.marksappliance.com/locations/edwardsville_showroom.html,
